# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    334   3.340000000   0.554626263  -1.557713820
    335   3.350000000   0.539049125  -1.643817110
    336   3.360000000   0.522610954  -1.727744960
    337   3.370000000   0.505333505  -1.809355049
    338   3.380000000   0.487239954  -1.888505283
    339   3.390000000   0.468354901  -1.965054155
    340   3.400000000   0.448704360  -2.038861154
    341   3.410000000   0.428315748  -2.109787211
    342   3.420000000   0.407217876  -2.177695184
    343   3.430000000   0.385440924  -2.242450380
    344   3.440000000   0.363016420  -2.303921107
    345   3.450000000   0.339977209  -2.361979251
    346   3.460000000   0.316357417  -2.416500878
    347   3.470000000   0.292192408  -2.467366842
    348   3.480000000   0.267518740  -2.514463409
    349   3.490000000   0.242374106  -2.557682877
    350   3.500000000   0.216797277  -2.596924187
    351   3.510000000   0.190828035  -2.632093524
    352   3.520000000   0.164507100  -2.663104890
    353   3.530000000   0.137876051  -2.689880648
    354   3.540000000   0.110977244  -2.712352028
    355   3.550000000   0.083853724  -2.730459586
    356   3.560000000   0.056549128  -2.744153608
    357   3.570000000   0.029107592  -2.753394464
    358   3.580000000   0.001573647  -2.758152883
    359   3.590000000  -0.026007881  -2.758410174
    360   3.600000000  -0.053591983  -2.754158365
    361   3.610000000  -0.081133567  -2.745400270
    362   3.620000000  -0.108587569  -2.732149480
    363   3.630000000  -0.135909064  -2.714430282
    364   3.640000000  -0.163053367  -2.692277496
    365   3.650000000  -0.189976142  -2.665736242
    366   3.660000000  -0.216633504  -2.634861644
    367   3.670000000  -0.242982121  -2.599718457
    368   3.680000000  -0.268979305  -2.560380649
    369   3.690000000  -0.294583112  -2.516930919
    370   3.700000000  -0.319752421  -2.469460175
    371   3.710000000  -0.344447023  -2.418066968
    372   3.720000000  -0.368627693  -2.362856904
    373   3.730000000  -0.392256262  -2.303942025
    374   3.740000000  -0.415295682  -2.241440180
    375   3.750000000  -0.437710084  -2.175474389
    376   3.760000000  -0.459464828  -2.106172209
    377   3.770000000  -0.480526550  -2.033665109
    378   3.780000000  -0.500863201  -1.958087862
    379   3.790000000  -0.520444079  -1.879577959
    380   3.800000000  -0.539239859  -1.798275055
    381   3.810000000  -0.557222609  -1.714320443
    382   3.820000000  -0.574365814  -1.627856576
    383   3.830000000  -0.590644380  -1.539026621
    384   3.840000000  -0.606034646  -1.447974068
    385   3.850000000  -0.620514387  -1.354842380
    386   3.860000000  -0.634062810  -1.259774695
    387   3.870000000  -0.646660557  -1.162913575
    388   3.880000000  -0.658289693  -1.064400810
    389   3.890000000  -0.668933701  -0.964377261
    390   3.900000000  -0.678577474  -0.862982761
    391   3.910000000  -0.687207301  -0.760356055
    392   3.920000000  -0.694810862  -0.656634787
    393   3.930000000  -0.701377210  -0.551955521
    394   3.940000000  -0.706896765  -0.446453807
    395   3.950000000  -0.711361303  -0.340264275
    396   3.960000000  -0.714763946  -0.233520761
    397   3.970000000  -0.717099153  -0.126356459
    398   3.980000000  -0.718362718  -0.018904091
    399   3.990000000  -0.718551759   0.088703903
    400   4.000000000  -0.717664720   0.196335166
    401   4.010000000  -0.715701368   0.303857213
    402   4.020000000  -0.712662796   0.411137224
    403   4.030000000  -0.708551424   0.518041833
    404   4.040000000  -0.703371006   0.624436931
    405   4.050000000  -0.697126636   0.730187473
    406   4.060000000  -0.689824762   0.835157312
    407   4.070000000  -0.681473188   0.939209042
    408   4.080000000  -0.672081098   1.042203881
    409   4.090000000  -0.661659059   1.144001573
    410   4.100000000  -0.650219043   1.244460330
    411   4.110000000  -0.637774440   1.343436816
    412   4.120000000  -0.624340072   1.440786163
    413   4.130000000  -0.609932210   1.536362045
    414   4.140000000  -0.594568590   1.630016790
    415   4.150000000  -0.578268422   1.721601548
    416   4.160000000  -0.561052407   1.810966514
    417   4.170000000  -0.542942741   1.897961196
    418   4.180000000  -0.523963129   1.982434742
    419   4.190000000  -0.504138782   2.064236327
    420   4.200000000  -0.483496419   2.143215582
    421   4.210000000  -0.462064263   2.219223078
    422   4.220000000  -0.439872032   2.292110863
    423   4.230000000  -0.416950923   2.361733035
    424   4.240000000  -0.393333593   2.427946363
    425   4.250000000  -0.369054130   2.490610937
    426   4.260000000  -0.344148020   2.549590850
    427   4.270000000  -0.318652112   2.604754896
    428   4.280000000  -0.292604563   2.655977290
    429   4.290000000  -0.266044790   2.703138384
    430   4.300000000  -0.239013406   2.746125386
    431   4.310000000  -0.211552152   2.784833061
    432   4.320000000  -0.183703821   2.819164416
    433   4.330000000  -0.155512177   2.849031340
    434   4.340000000  -0.127021864   2.874355220
    435   4.350000000  -0.098278312   2.895067492
    436   4.360000000  -0.069327637   2.911110142
    437   4.370000000  -0.040216535   2.922436133
    438   4.380000000  -0.010992174   2.929009764
    439   4.390000000   0.018297924   2.930806948
    440   4.400000000   0.047605993   2.927815405
    441   4.410000000   0.076884147   2.920034765
    442   4.420000000   0.106084495   2.907476587
    443   4.430000000   0.135159261   2.890164287
    444   4.440000000   0.164060903   2.868132969
    445   4.450000000   0.192742233   2.841429182
    446   4.460000000   0.221156525   2.810110583
    447   4.470000000   0.249257631   2.774245529
    448   4.480000000   0.277000086   2.733912597
    449   4.490000000   0.304339212   2.689200035
    450   4.500000000   0.331231212   2.640205164
    451   4.510000000   0.357633264   2.587033728
    452   4.520000000   0.383503601   2.529799207
    453   4.530000000   0.408801593   2.468622109
    454   4.540000000   0.433487814   2.403629231
    455   4.550000000   0.457524107   2.334952925
    456   4.560000000   0.480873636   2.262730362
    457   4.570000000   0.503500940   2.187102797
    458   4.580000000   0.525371968   2.108214872
    459   4.590000000   0.546454116   2.026213925
    460   4.600000000   0.566716256   1.941249352
    461   4.610000000   0.586128749   1.853471997
    462   4.620000000   0.604663469   1.763033594
    463   4.630000000   0.622293805   1.670086256
    464   4.640000000   0.638994668   1.574782023
    465   4.650000000   0.654742488   1.477272459
    466   4.660000000   0.669515212   1.377708316
    467   4.670000000   0.683292296   1.276239247
    468   4.680000000   0.696054688   1.173013586
    469   4.690000000   0.707784824   1.068178180
    470   4.700000000   0.718466606   0.961878284
