# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    595   5.950000000   0.396015099   3.047021428
    596   5.960000000   0.426485314   2.982272960
    597   5.970000000   0.456308043   2.912542611
    598   5.980000000   0.485433469   2.837936246
    599   5.990000000   0.513812832   2.758567874
    600   6.000000000   0.541398511   2.674559476
    601   6.010000000   0.568144105   2.586040819
    602   6.020000000   0.594004513   2.493149258
    603   6.030000000   0.618936006   2.396029520
    604   6.040000000   0.642896301   2.294833483
    605   6.050000000   0.665844636   2.189719938
    606   6.060000000   0.687741835   2.080854340
    607   6.070000000   0.708550379   1.968408550
    608   6.080000000   0.728234464   1.852560563
    609   6.090000000   0.746760070   1.733494228
    610   6.100000000   0.764095012   1.611398956
    611   6.110000000   0.780209002   1.486469422
    612   6.120000000   0.795073696   1.358905250
    613   6.130000000   0.808662749   1.228910701
    614   6.140000000   0.820951856   1.096694341
    615   6.150000000   0.831918799   0.962468713
    616   6.160000000   0.841543486   0.826449989
    617   6.170000000   0.849807986   0.688857629
    618   6.180000000   0.856696562   0.549914024
    619   6.190000000   0.862195703   0.409844136
    620   6.200000000   0.866294144   0.268875138
    621   6.210000000   0.868982895   0.127236046
    622   6.220000000   0.870255256  -0.014842657
    623   6.230000000   0.870106829  -0.157129392
    624   6.240000000   0.868535535  -0.299391858
    625   6.250000000   0.865541617  -0.441397418
    626   6.260000000   0.861127642  -0.582913473
    627   6.270000000   0.855298508  -0.723707842
