# Nghiem giai tich cho phuong trinh truyen nhiet 1D
#
#    j (t)    i (x)               t               x               u           |err|
         2       61    1.200200e+01    6.161616e-01    1.000000e+02    0.000000e+00
         2       62    1.200200e+01    6.262626e-01    1.000000e+02    1.421085e-14
         2       63    1.200200e+01    6.363636e-01    1.000000e+02    1.563194e-13
         2       64    1.200200e+01    6.464646e-01    1.000000e+02    8.526513e-13
         2       65    1.200200e+01    6.565657e-01    1.000000e+02    4.661160e-12
         2       66    1.200200e+01    6.666667e-01    1.000000e+02    2.508216e-11
         2       67    1.200200e+01    6.767677e-01    1.000000e+02    1.276135e-10
         2       68    1.200200e+01    6.868687e-01    1.000000e+02    6.195364e-10
         2       69    1.200200e+01    6.969697e-01    1.000000e+02    2.865789e-09
         2       70    1.200200e+01    7.070707e-01    1.000000e+02    1.263236e-08
         2       71    1.200200e+01    7.171717e-01    1.000000e+02    5.306691e-08
         2       72    1.200200e+01    7.272727e-01    1.000000e+02    9.787536e-06
         2       73    1.200200e+01    7.373737e-01    1.000000e+02    1.918922e-05
         2       74    1.200200e+01    7.474747e-01    1.000000e+02    3.705080e-05
         2       75    1.200200e+01    7.575757e-01    9.999999e+01    9.977318e-05
         2       76    1.200200e+01    7.676768e-01    9.999997e+01    2.261904e-04
         2       77    1.200200e+01    7.777778e-01    9.999989e+01    5.134254e-04
         2       78    1.200200e+01    7.878788e-01    9.999968e+01    1.119642e-03
         2       79    1.200200e+01    7.979798e-01    9.999908e+01    2.341581e-03
         2       80    1.200200e+01    8.080808e-01    9.999749e+01    4.698492e-03
         2       81    1.200200e+01    8.181818e-01    9.999345e+01    9.037782e-03
         2       82    1.200200e+01    8.282828e-01    9.998369e+01    1.659894e-02
         2       83    1.200200e+01    8.383838e-01    9.996125e+01    2.899690e-02
         2       84    1.200200e+01    8.484848e-01    9.991211e+01    4.799517e-02
         2       85    1.200200e+01    8.585859e-01    9.980964e+01    7.484181e-02
         2       86    1.200200e+01    8.686869e-01    9.960622e+01    1.092778e-01
         2       87    1.200200e+01    8.787879e-01    9.922166e+01    1.481085e-01
         2       88    1.200200e+01    8.888889e-01    9.852943e+01    1.839496e-01
         2       89    1.200200e+01    8.989899e-01    9.734295e+01    2.049773e-01
         2       90    1.200200e+01    9.090909e-01    9.540653e+01    1.966628e-01
         2       91    1.200200e+01    9.191919e-01    9.239726e+01    1.461728e-01
         2       92    1.200200e+01    9.292929e-01    8.794429e+01    4.886200e-02
         2       93    1.200200e+01    9.393939e-01    8.167000e+01    8.540860e-02
         2       94    1.200200e+01    9.494949e-01    7.325207e+01    2.296447e-01
         2       95    1.200200e+01    9.595960e-01    6.249787e+01    3.442055e-01
         2       96    1.200200e+01    9.696970e-01    4.941607e+01    3.885551e-01
         2       97    1.200200e+01    9.797980e-01    3.426346e+01    3.380904e-01
         2       98    1.200200e+01    9.898990e-01    1.755123e+01    1.968265e-01
         2       99    1.200200e+01    1.000000e+00    0.000000e+00    0.000000e+00

         3        0    1.800300e+01    0.000000e+00    0.000000e+00    0.000000e+00
         3        1    1.800300e+01    1.010101e-02    1.436953e+01    1.081463e-01
         3        2    1.800300e+01    2.020202e-02    2.827678e+01    1.959541e-01
         3        3    1.800300e+01    3.030303e-02    4.130357e+01    2.480554e-01
         3        4    1.800300e+01    4.040404e-02    5.311311e+01    2.574126e-01
         3        5    1.800300e+01    5.050505e-02    6.347469e+01    2.263612e-01
         3        6    1.800300e+01    6.060606e-02    7.227337e+01    1.649880e-01
         3        7    1.800300e+01    7.070707e-02    7.950453e+01    8.778423e-02
         3        8    1.800300e+01    8.080808e-02    8.525622e+01    9.760323e-03
         3        9    1.800300e+01    9.090909e-02    8.968396e+01    5.691021e-02
         3       10    1.800300e+01    1.010101e-01    9.298284e+01    1.047820e-01
         3       11    1.800300e+01    1.111111e-01    9.536159e+01    1.314939e-01
         3       12    1.800300e+01    1.212121e-01    9.702168e+01    1.389183e-01
         3       13    1.800300e+01    1.313131e-01    9.814295e+01    1.315260e-01
         3       14    1.800300e+01    1.414141e-01    9.887592e+01    1.147464e-01
         3       15    1.800300e+01    1.515152e-01    9.933965e+01    9.364623e-02
         3       16    1.800300e+01    1.616162e-01    9.962359e+01    7.217015e-02
         3       17    1.800300e+01    1.717172e-01    9.979186e+01    5.286888e-02
         3       18    1.800300e+01    1.818182e-01    9.988837e+01    3.696883e-02
         3       19    1.800300e+01    1.919192e-01    9.994194e+01    2.477091e-02
         3       20    1.800300e+01    2.020202e-01    9.997072e+01    1.595169e-02
         3       21    1.800300e+01    2.121212e-01    9.998569e+01    9.886255e-03
         3       22    1.800300e+01    2.222222e-01    9.999322e+01    5.916748e-03
         3       23    1.800300e+01    2.323232e-01    9.999688e+01    3.424331e-03
         3       24    1.800300e+01    2.424242e-01    9.999861e+01    1.923087e-03
         3       25    1.800300e+01    2.525253e-01    9.999940e+01    1.041744e-03
         3       26    1.800300e+01    2.626263e-01    9.999975e+01    5.499448e-04
         3       27    1.800300e+01    2.727273e-01    9.999990e+01    2.787352e-04
         3       28    1.800300e+01    2.828283e-01    9.999996e+01    1.402695e-04
         3       29    1.800300e+01    2.929293e-01    9.999998e+01    6.489907e-05
         3       30    1.800300e+01    3.030303e-01    9.999999e+01    3.444003e-05
         3       31    1.800300e+01    3.131313e-01    1.000000e+02    1.801708e-05
         3       32    1.800300e+01    3.232323e-01    1.000000e+02    9.315013e-06
         3       33    1.800300e+01    3.333333e-01    1.000000e+02    2.291823e-07
         3       34    1.800300e+01    3.434343e-01    1.000000e+02    7.426488e-08
         3       35    1.800300e+01    3.535354e-01    1.000000e+02    2.330597e-08
         3       36    1.800300e+01    3.636364e-01    1.000000e+02    7.083116e-09
         3       37    1.800300e+01    3.737374e-01    1.000000e+02    2.084690e-09
         3       38    1.800300e+01    3.838384e-01    1.000000e+02    5.941558e-10
         3       39    1.800300e+01    3.939394e-01    1.000000e+02    1.640075e-10
         3       40    1.800300e+01    4.040404e-01    1.000000e+02    4.381207e-11
         3       41    1.800300e+01    4.141414e-01    1.000000e+02    1.134026e-11
         3       42    1.800300e+01    4.242424e-01    1.000000e+02    2.827960e-12
         3       43    1.800300e+01    4.343434e-01    1.000000e+02    6.821210e-13
         3       44    1.800300e+01    4.444444e-01    1.000000e+02    1.421085e-13
