Ket qua tinh toan he phuong trinh sau 999 lan lap:

####################################################################################################

    i             F1              F2              f5              F3              f2              f3              f1              f4               sai_so
   90   -0.000000000 -3604511671069198744813568.000000000 3604511671069198744813568.000000000 8829214366026253163560960.000000000 -6243197350766848438697984.000000000 10000.000000000 -12486394701533696877395968.000000000 10813535013207595160698880.000000000         3.411346e+25
   91   -0.000000000 6243197350766848438697984.000000000 -6243197350766848438697984.000000000 -15292647872874506086252544.000000000 10813535013207595160698880.000000000 10000.000000000 21627070026415190321397760.000000000 -18729592052300545316093952.000000000         5.908625e+25
   92   -0.000000000 -10813535013207595160698880.000000000 10813535013207595160698880.000000000 26487643098078759490682880.000000000 -18729592052300545316093952.000000000 10000.000000000 -37459184104601090632187904.000000000 32440605039622785482096640.000000000         1.023404e+26
   93   -0.000000000 18729592052300545316093952.000000000 -18729592052300545316093952.000000000 -45877943618623516111273984.000000000 32440605039622785482096640.000000000 10000.000000000 64881210079245570964193280.000000000 -56188776156901631653314560.000000000         1.772588e+26
   94   -0.000000000 -32440605039622785482096640.000000000 32440605039622785482096640.000000000 79462929294236274177081344.000000000 -56188776156901631653314560.000000000 10000.000000000 -112377552313803263306629120.000000000 97321815118868339266420736.000000000         3.070212e+26
   95   -0.000000000 56188776156901631653314560.000000000 -56188776156901631653314560.000000000 -137633830855870522564018176.000000000 97321815118868339266420736.000000000 10000.000000000 194643630237736678532841472.000000000 -168566328470704869190139904.000000000         5.317763e+26
   96   -0.000000000 -97321815118868339266420736.000000000 97321815118868339266420736.000000000 238388787882708770991636480.000000000 -168566328470704869190139904.000000000 10000.000000000 -337132656941409738380279808.000000000 291965445356604983439523840.000000000         9.210635e+26
   97   -0.000000000 168566328470704869190139904.000000000 -168566328470704869190139904.000000000 -412901492567611550512185344.000000000 291965445356604983439523840.000000000 10000.000000000 583930890713209966879047680.000000000 -505698985412114538850942976.000000000         1.595329e+27
   98   -0.000000000 -291965445356604983439523840.000000000 291965445356604983439523840.000000000 715166363648126244255432704.000000000 -505698985412114538850942976.000000000 10000.000000000 -1011397970824229077701885952.000000000 875896336069814812879618048.000000000         2.763191e+27
   99   -0.000000000 505698985412114538850942976.000000000 -505698985412114538850942976.000000000 -1238704477702834445378125824.000000000 875896336069814812879618048.000000000 10000.000000000 1751792672139629625759236096.000000000 -1517096956236343341674921984.000000000         4.785987e+27
