# Bai toan truyen song 1D 
# Phuong phap sai phan huu han hien
# Ghi lai vi tri va bien do cua dinh song tai moi thoi diem
#

####################################################################################################
#           t (s)  x_dinh_song_num (m)       u_dinh_song_num (m)      x_dinh_song_anal (m)      u_dinh_song_anal (m)
   1.92000000e-02       4.15492958e-01           -7.18094132e-01            4.15492958e-01           -7.30460326e-01
   1.93000000e-02       4.22535211e-01           -7.10536156e-01            4.22535211e-01           -7.22128437e-01
   1.94000000e-02       4.29577465e-01           -7.02363941e-01            4.29577465e-01           -7.13537336e-01
   1.95000000e-02       4.36619718e-01           -6.93920210e-01            4.36619718e-01           -7.04761499e-01
   1.96000000e-02       4.43661972e-01           -6.86246814e-01            4.43661972e-01           -6.95853821e-01
   1.97000000e-02       4.50704225e-01           -6.78607161e-01            4.43661972e-01           -6.88758827e-01
   1.98000000e-02       4.57746479e-01           -6.70024664e-01            4.50704225e-01           -6.81871880e-01
   1.99000000e-02       4.57746479e-01           -6.62262610e-01            4.57746479e-01           -6.74702794e-01
   2.00000000e-02       4.64788732e-01           -6.54473144e-01            4.64788732e-01           -6.67234981e-01
   2.01000000e-02       4.71830986e-01           -6.46130310e-01            4.71830986e-01           -6.59449016e-01
   2.02000000e-02       4.78873239e-01           -6.38263532e-01            4.78873239e-01           -6.51341901e-01
   2.03000000e-02       4.85915493e-01           -6.30741663e-01            4.85915493e-01           -6.42957680e-01
   2.04000000e-02       4.92957746e-01           -6.22798209e-01            4.92957746e-01           -6.34335169e-01
   2.05000000e-02       5.00000000e-01           -6.14566764e-01            5.00000000e-01           -6.25521908e-01
   2.06000000e-02       5.07042254e-01           -6.06593458e-01            5.00000000e-01           -6.16620094e-01
   2.07000000e-02       5.14084507e-01           -5.98666009e-01            5.07042254e-01           -6.09909957e-01
   2.08000000e-02       5.21126761e-01           -5.90329529e-01            5.14084507e-01           -6.02972406e-01
   2.09000000e-02       5.21126761e-01           -5.82355619e-01            5.21126761e-01           -5.95756793e-01
